ID,age1,age2,GF1,GF2,GAK1,GAK2,Female,GC1,GC2,GQ1,GQ2
3711,20,20.58,511,526.5,538.33,547,0,531,531,528,534
3725,10,10.42,498,503.5,507.67,509.67,0,507,507,492,492
3730,6,7.08,484,489.5,467.33,476.33,1,473,473,456,461
3752,4,7.58,,481,430,485.33,1,,475,358,461
3753,19,21.67,520,523,545.33,545.33,0,540,542,551,561
3754,19,21.67,547.5,541.5,553.33,547.33,1,556,554,566,572
3755,20,20.58,536,532,551,546,0,543,543,566,577
3756,3,6.58,,476,447.67,468.67,0,,475,418,452
3761,18,24,534,518,545.33,527,1,560,558,534,525
3788,5,5.58,464.5,463.5,443,446.33,0,435,440,428,423
3792,3,4,,,446.33,457.33,0,,,408,413
3799,19,19.42,519.5,530,521.33,533,0,525,522,551,572
3802,10,10.58,515,523,509.67,514.67,1,510,507,502,497
3804,9,9.42,493,496,470.33,473.67,0,486,473,471,456
3817,19,20.17,514.5,525,539.67,551.67,0,556,560,561,566
3826,4,4.33,,,460.33,476.33,0,,,433,433
3848,18,18.75,518,530,524.33,528,0,543,537,522,545
3849,4,7.25,,487.5,461,491.67,1,,481,408,476
3850,4,7.42,,489.5,467,494.33,0,,491,433,476
3851,3,4,,,441,437.67,1,,,413,418
3852,3,6.58,,476,449.33,479.33,1,,475,423,447
3858,4,4.33,,,441.33,449.67,0,,,437,428
3877,4,7,,484.5,460.67,484,1,,472,433,481
3881,4,4.33,,,425.33,430.33,1,,,397,413
3888,18,18.75,513.5,523,528,536.33,0,531,543,566,566
3905,3,5.92,,,441.33,465.33,0,,,397,471
3929,18,19.25,516.5,519.5,543.67,541.67,0,537,540,522,528
3934,3,6.58,,485,448,482.33,0,,469,402,452
3942,3,4.17,,,428.67,459,1,,,380,442
3944,4,7.5,,522,454.33,502.67,0,,502,442,497
3964,17,17.33,510.5,511,511.33,519.67,0,519,519,522,517
3966,4,4.5,,,433.67,432.67,1,,,428,433
3970,20,20.83,520,516.5,531.33,534.67,1,531,540,539,534
3990,20,20.75,528.5,536,536.33,538.67,0,525,540,561,561
4004,18,18.75,512.5,519.5,538.33,547.67,1,549,553,517,534
4014,16,16.67,496,504.5,492,490.33,1,500,496,492,497
4015,19,19.67,493,511.5,502.67,509.67,0,503,510,502,522
4018,4,4.83,,,437,443,1,,,413,418
4021,3,4.17,,,415.33,415.33,1,,,358,380
4022,4,7.25,,484.5,460.67,485.67,0,,475,408,466
4023,19,19.92,525.5,518,519.33,521,0,531,522,539,545
4030,18,18.5,526.5,523,536.67,541.67,0,540,543,566,551
4033,4,4.42,,,456,460.67,0,,,418,428
